details_agg,amount_claimed_sum,count
caseworker,557927.54,699
adobe,41593.86,640
mailchimp,22199.19,280
canva,7893.61,207
veed,4590.01,87
kapwing,6346.07,84
zoom,4367.98,78
zubtitle.com,1114.77,67
sendinblue,2910.0,62
apple,317.9,53
timetastic,563.34,50
google,1146.91,46
software,2014.45,33
dropbox,1600.08,26
mcafee,1946.82,24
subly uk,533.05,21
software subscription,476.04,18
microsoft,1157.73,18
software and application subscription,365.99,17
remarkable,47.84,16
twitter paid features,244.79999999999998,13
office costs,1776.31,13
office software,161.47,12
indesign,207.74,10
social media and software package,289.54,9
msft [***],640.3199999999999,9
breathehr,387.6,9
contstant contact,460.8,8
linktree linktree,32.0,8
motionarra motion arr,150.91,8
buffer,280.38,8
bright hr ltd,367.2,8
storage,71.92,8
dnh go daddy europe gb,183.36,8
metapay meta verified,79.92,8
paypal utopiacom,80.0,8
icloud storage,23.92,8
cloud storage,53.92,8
content studio,166.23,7
headliner video,321.6,7
postplanner.com app,459.68,7
amazon,1106.0900000000001,7
mtech systems,27.86,7
slack,386.4,7
surveymonke,1848.0,7
trello.com atlassian,256.39,7
grammarly,1416.1299999999999,7
shutterstock ireland l,171.6,7
buffer plan,577.43,7
openai chatgpt subscr,135.56,7
wavve.co,74.11,7
zubtitle,105.08,7
arlo,192.42999999999998,7
squarespace,642.36,7
jotform,228.56,6
norton [***],349.96,6
capcut,59.94,6
additional icloud storage,53.94,6
data storage,3287.96,6
wilson computers,1034.72,6
figma monthly renewal,234.94,6
gsuite_samtarry.org,30.61,6
emailoctopus,290.4,6
fs techsmith,1467.21,6
oce wondershare.com,125.51,5
companieshouse efs - g,362.0,5
hoo hootsuite inc,606.0,5
whereby videoconferencing,39.35,5
wix,949.0799999999999,5
chatgpt subscription,98.53,5
phtoshp lightrm bndl,49.900000000000006,5
buzzsprout invoice [***],49.08,5
otter.ai,373.33000000000004,4
cookiebot,47.0,4
ba inflight sales,33.96,4
"shutterstock - video editing software for social media, newsletters & website",91.2,4
icloud storage plan for members parliamentary device,35.96,4
gsuite_johnnyforplymou,80.73,4
gsuite_louisehaigh.org,159.3,4
blackmagic cloud,19.64,4
software application subscription,100.4,4
highrise case work software,158.47,4
www.perplexity.ai,336.21999999999997,4
event listing fee,61.98,4
gsuite_stephenfarry.or,82.89,3
buffer publish pro mo,44.03,3
eventbrite.com org fee,35.97,3
123 reg ltd,93.44,3
software for constituency office,222.25,3
bluetree websites,1080.0,3
social media subscription,57.599999999999994,3
after effects,65.94,3
amzn digital,75.97,3
x corp. paid features,22.799999999999997,3
remarkable subscription,8.97,3
org sub fee,57.0,3
wondershare.com,46.89,3
wordpress [***],402.0,3
amznmktplace,41.97,3
ionos cloud ltd,41.42,3
epidemic sound,47.94,3
zubtitle llc,44.93,3
pamediagroup.com,1120.0,3
cookiebotcom co cybot,33.0,3
email,59.400000000000006,3
elementor,160.88,2
envato,367.75,2
qr-code-generator.com,164.92000000000002,2
consdtituency office software,149.41,2
dropbox subscription,185.87,2
fs clideo.com,80.0,2
gender-api.com,14.129999999999999,2
wifi: travelodge - wi,21.0,2
wifi for flight to complete parliamentary work,9.98,2
graphic design software,23.990000000000002,2
vonage monthly subscription,192.0,2
192.com,38.28,2
leavedates.com,155.52,2
sqsp [***],105.6,2
subscription - constituency office,112.8,2
www.ico.org.uk,0.0,2
2co.com easeus.com [***],37.95,2
b online - voip,181.68,2
stk shutterstock,69.6,2
8x8 phone subscription,24.0,2
sp productivitymethod,84.0,2
wpforms.com software,0.23999999999999488,2
voip phone services,181.68,2
software-pcfix.com,26.659999999999997,2
alamy.com limited,36.0,2
problems sending emails - constituency office,11.5,1
zoho-social,331.2,1
x premium basic annual subscription for @julialopezmp,38.4,1
network support - april 2024,69.58,1
network support - january 2024,69.58,1
zeemo.ai,65.08,1
open ai chat gpt 4o for virtual assistance,19.37,1
monthly webhosting for chloesmith.org.uk,115.67,1
monthly subscription - constituency office,56.4,1
monthly subscription,56.4,1
quillbot,79.82,1
reader software,149.99,1
monday.com,1584.0,1
zoho-zoho corp,115.2,1
members mobile phone charges for june 2024 invoice dated 20-06-2024,56.98,1
quick benefits calculator,66.0,1
newry computer centre,35.0,1
pocket - software application,34.99,1
plaud dictation/audio recording,205.0,1
online storage,8.99,1
www.buckstudio.co.uk,239.7,1
office costs- software,18.9,1
office costs(70% as partly during election),7.0,1
oracle computer software 2 year subscription,75.23,1
www.drewhendrymp.scot,149.25,1
office computer repair,35.0,1
"nvoice for captions app, to produce parliamentary videos",10.49,1
payment for video editing software - three months,60.0,1
norton security software sub,189.98,1
norton security for office it equipment,89.99,1
norton driver updater for pc,49.99,1
paypal epc ltd,29.95,1
paypal flexitimepl,24.0,1
nord vpn subscription (2 years),80.68,1
photo and video editing software,10.99,1
newman business soluti,313.92,1
real vnc remote access software annual subscription,273.6,1
screencastify unlimite,52.62,1
recommended subscription as part of osce,22.99,1
