mps_name,constituency,office_budget,reason_for_budget_set,office_spend,remaining_office_budget,staffing_budget,reason_for_budget_staffing_budget,staffing_spend,remaining_staffing_budget,accommodation_budget,reason_for_budget_accommodation_budget,accommodation_spend,remaining_accommodation_budget,travel_and_subsistence_uncapped,other_costs_uncapped,pid
Aaron Bell,Newcastle-under-Lyme BC,30570.00,Standard non-London area budget,29242.07,1327.93,236170.00,Standard non-London area budget,222052.36,14117.64,45200.00,"Standard budget for renting a property in the London area, with an uplift to cover the cost of three dependants",41419.42,3780.58,15161.84,0.00,4837
Abena Oppong-Asare,Erith and Thamesmead BC,33840.00,Standard London area budget,23522.11,10317.89,252870.00,Standard London area budget,229901.96,22968.04,0.00,,0.00,0.00,5.40,912.15,4820
Adam Afriyie,Windsor CC,33840.00,Standard London area budget,690.00,33150.00,252870.00,Standard London area budget,142626.62,110243.38,0.00,,0.00,0.00,0.00,0.00,1586
Adam Holloway,Gravesham CC,30570.00,Standard non-London area budget,21506.75,9063.25,236170.00,Standard non-London area budget,195803.90,40366.10,0.00,,0.00,0.00,6255.88,0.00,1522
Afzal Khan,"Manchester, Gorton BC",30570.00,Standard non-London area budget,19193.84,11376.16,236170.00,Standard non-London area budget,189727.82,46442.18,26840.00,Standard budget for renting a property in the London area,24060.35,2779.65,10354.26,0.00,4671
Alan Brown,Kilmarnock and Loudoun CC,30570.00,Standard non-London area budget,27525.21,3044.79,236170.00,Standard non-London area budget,185096.84,51073.16,26840.00,Standard budget for renting a property in the London area,22814.91,4025.09,28289.50,0.00,4470
Alan Campbell,Tynemouth BC,30570.00,Standard non-London area budget,21472.39,9097.61,236170.00,Standard non-London area budget,172755.44,63414.56,6330.00,Standard budget for an MP who owns their property and is claiming the associated costs only (such as utilities),6330.00,0.00,12457.07,220.00,529
Alan Mak,Havant BC,30570.00,Standard non-London area budget,30542.51,27.49,236170.00,Standard non-London area budget,183148.50,53021.50,19090.00,Standard budget for renting a property outside the London area,12581.28,6508.72,6975.02,0.00,4484
Alan Whitehead,"Southampton, Test BC",30570.00,Standard non-London area budget,25244.31,5325.69,236170.00,Standard non-London area budget,180768.51,55401.49,26840.00,Standard budget for renting a property in the London area,20540.04,6299.96,7916.39,0.00,62
Alberto Costa,South Leicestershire CC,30570.00,Standard non-London area budget,30048.20,521.80,236170.00,Standard non-London area budget,163111.28,73058.72,39080.00,"Standard budget for renting a property in the London area, with an uplift to cover the cost of two dependants",29017.32,10062.68,11731.55,0.00,4439
Alec Shelbrooke,Elmet and Rothwell CC,30570.00,Standard non-London area budget,23470.84,7099.16,236170.00,Standard non-London area budget,185401.48,50768.52,26840.00,Standard budget for renting a property in the London area,22208.59,4631.41,5702.94,0.00,3997
Alex Burghart,Brentwood and Ongar CC,33840.00,Standard London area budget,6332.88,27507.12,252870.00,Standard London area budget,179661.98,73208.02,0.00,,0.00,0.00,0.00,0.00,4613
Alex Chalk,Cheltenham BC,30570.00,Standard non-London area budget,24616.84,5953.16,236170.00,Standard non-London area budget,226326.99,9843.01,6330.00,Standard budget for an MP who owns their property and is claiming the associated costs only (such as utilities),1723.18,4606.82,2451.19,0.00,4481
Alex Cunningham,Stockton North BC,30570.00,Standard non-London area budget,19688.09,10881.91,236170.00,Standard non-London area budget,219165.15,17004.85,26840.00,Standard budget for renting a property in the London area,24719.76,2120.24,11516.46,0.00,4122
Alex Davies-Jones,Pontypridd CC,30570.00,Standard non-London area budget,24077.50,6492.50,236170.00,Standard non-London area budget,202911.23,33258.77,39080.00,"Standard budget for renting a property in the London area, with an uplift to cover the cost of two dependants",30786.23,8293.77,14402.65,0.00,4849
Alex Norris,Nottingham North BC,30570.00,Standard non-London area budget,27644.46,2925.54,236170.00,Standard non-London area budget,218269.18,17900.82,26840.00,Standard budget for renting a property in the London area,25627.97,1212.03,4791.00,0.00,4641
Alex Sobel,Leeds North West BC,30570.00,Standard non-London area budget,30221.51,348.49,236170.00,Standard non-London area budget,233575.84,2594.16,39080.00,"Standard budget for renting a property in the London area, with an uplift to cover the cost of two dependants",31922.03,7157.97,15485.22,0.00,4658
Alexander Stafford,Rother Valley CC,30570.00,Standard non-London area budget,29006.83,1563.17,236170.00,Standard non-London area budget,185464.25,50705.75,31330.00,"Standard budget for renting a property outside the London area, with an uplift to cover the cost of two dependants",21266.88,10063.12,7649.56,0.00,4866
Alicia Kearns,Rutland and Melton CC,30570.00,Standard non-London area budget,24527.73,6042.27,236170.00,Standard non-London area budget,221468.57,14701.43,39080.00,"Standard budget for renting a property in the London area, with an uplift to cover the cost of two dependants",37547.86,1532.14,7091.88,0.00,4805
Alison McGovern,Wirral South CC,30570.00,Standard non-London area budget,21286.44,9283.56,236170.00,Standard non-London area budget,225731.90,10438.10,32960.00,"Standard budget for renting a property in the London area, with an uplift to cover the cost of one dependant",18579.34,14380.66,12780.60,0.00,4083
Alison Thewliss,Glasgow Central BC,30570.00,Standard non-London area budget,30205.74,364.26,236170.00,Standard non-London area budget,228246.15,7923.85,39080.00,"Standard budget for renting a property in the London area, with an uplift to cover the cost of two dependants",28489.03,10590.97,40112.50,2917.60,4430
Alistair Carmichael,Orkney and Shetland CC,40970.00,"Standard non-London area budget plus an uplift of £10,400, granted following an application to IPSA",39988.60,981.40,236170.00,Standard non-London area budget,186783.99,49386.01,26840.00,Standard budget for renting a property in the London area,14945.03,11894.97,43732.15,0.00,1442
Alistair Strathern,Mid Bedfordshire CC,19698.03,"Standard non-London area budget from 20 October 2023, and a start-up supplement of £6,000",18282.33,1415.70,105824.81,Standard non-London area budget from 20 October 2023,64572.04,41252.77,12026.67,Standard budget for renting a property in the London area from 20 October 2023,0.00,12026.67,1051.03,0.00,5000
Alister Jack,Dumfries and Galloway CC,30570.00,Standard non-London area budget,18420.68,12149.32,236170.00,Standard non-London area budget,202248.51,33921.49,6330.00,Standard budget for an MP who owns their property and is claiming the associated costs only (such as utilities),2675.10,3654.90,24321.07,0.00,4619
Allan Dorans,"Ayr, Carrick and Cumnock CC",30570.00,Standard non-London area budget,19916.81,10653.19,236170.00,Standard non-London area budget,158249.96,77920.04,26840.00,Standard budget for renting a property in the London area,10812.99,16027.01,25904.32,0.00,4740
Alok Sharma,Reading West CC,30570.00,Standard non-London area budget,16669.45,13900.55,236170.00,Standard non-London area budget,152503.69,83666.31,26840.00,Standard budget for renting a property in the London area,0.00,26840.00,8954.09,912.15,4014
Alun Cairns,Vale of Glamorgan CC,30570.00,Standard non-London area budget,21990.48,8579.52,236170.00,Standard non-London area budget,174781.72,61388.28,26840.00,Standard budget for renting a property in the London area,20722.98,6117.02,13327.87,0.00,4086
